Info. ISIN,Info. CompanyName,Info. Ticker,Info. Country,Info. List,Info. Industry,Info. ReportDate. Next,Stock. LatestPrice,Stock. Return. Act_1d,Stock. Return. Act_1w,Stock. Return. Act_1m,Stock. Return. Act_3m,Stock. Return. Act_6m,Stock. Return. Act_1y,Stock. Return. Act_3y,Stock. Return. Act_5y,Valuation. MarketCap,Valuation. P/E. Latest,Valuation. P/E. Avg_1y,Valuation. P/E. Avg_3y,Valuation. P/S. Latest,Valuation. P/S. Avg_1y,Valuation. P/S. Avg_3y,Valuation. P/FCF. Latest,Valuation. P/FCF. Avg_1y,Valuation. P/FCF. Avg_3y,TA. MA5/MA20,TA. MA20/MA70,TA. MA50/MA200,Strat. Graham,Profitability. ROC
SE0001920760,A City Media,ACM,Sverige,First North,Media,,148.25,0.0385288968682289,0.0224137920886278,0.0762250497937202,-0.0987842008471489,0.41527447104454,0.066546767950058,,,216.88980102539,23.748119354248,17.5726890563964,12.2068195343017,2.31524395942687,1.72866296768188,1.20541298389434,46.6429595947265,305.812408447265,12.6328802108764,0.0454585552215576,-0.0230866670608521,0.100665807723999,,0.220781311392784
DK0010244508,A.P. Moller Maersk B,MAERSK B,Denmark,Large Cap,Handel & Distribution,2017-05-11,12300,-0.00324149103835225,0.00985221657902002,0.0603448301553726,0.0275689214468002,0.362126231193542,0.423611104488373,-0.0625,0.625264286994934,255692.40625,-20.024580001831,-18.3769302368164,4.85850095748901,1.05457198619842,0.885845601558685,0.954105079174041,19.7999305725097,89.459602355957,22.1306705474853,0.0464255809783936,0.00866508483886719,0.0873259380459785,3,
SE0005876828,A1M Pharma,A1M,Sverige,Aktietorget,Sjukvård,,11.4499998092651,16.890625,15.126760482788,12.3139524459838,8.95652198791503,4.0663719177246,2.19832396507263,1.54444444179534,,625.341674804687,-12.0083904266357,-12.5961999893188,-17.2850608825683,,65.8714523315429,16.5823497772216,-12.0011100769042,-9.54555606842041,-10.4503602981567,1.13972973823547,0.0457595586776733,-0.360439956188202,,-2.3329050540924
DK0010247014,Aalborg Boldspilklub,AAB,Denmark,Small Cap,"Hotell, restaurang & nöje",,0.326999992132187,0.0283019002526999,-0.0238806437700987,0.0651465132832527,0.0792078822851181,0.307999968528748,0.167857110500336,-0.590533435344696,0.587378621101379,,,,,,,,,,,0.0259330272674561,0.0525463819503784,0.106708638370037,2,
DK0010263722,Aarhus Elite,ELITE B,Denmark,Small Cap,"Hotell, restaurang & nöje",,0.224999994039536,0.0227272510528564,0.153846174478531,0.216216161847115,-0.0343347676098347,-0.0778688862919807,-0.172794193029404,-0.438202261924744,-0.730345129966735,,,,,,,,,,,0.0497461557388306,-0.048112154006958,-0.144298613071442,2,
SE0001493776,AarhusKarlshamn,AAK,Sverige,Large Cap,Livsmedel,2017-04-20,622.5,0.00484261522069573,-0.0196850392967463,0.0289256200194359,0.0550847426056862,0.103723399341106,0.0297766756266356,0.408052444458008,1.77282857894897,26324.279296875,25.2632904052734,25.1197299957275,24.5117301940917,1.10221803188323,1.13693499565124,1.10106897354125,-47.007640838623,-26.8798294067382,-44.072509765625,-0.00770413875579834,0.041347861289978,0.0124055147171021,5,0.141029998660088
CH0012221716,ABB,ABB,Sverige,Large Cap,Produktion,2017-04-20,217.899993896484,0.00926354806870222,-0.00137489940971136,0.086241215467453,0.077113151550293,0.136671870946884,0.293943017721176,0.400385499000549,0.883318960666656,466306,24.6898193359375,22.4236793518066,22.8405399322509,1.58922803401947,1.24864995479583,1.34655201435089,10.9410200119018,13.6220397949218,13.9946403503417,0.00491070747375488,0.039676308631897,0.0585832595825195,3,0.163813799619675
SE0006256558,Absolent,ABSO,Sverige,First North,Byggprodukter,,139,0.0530303046107292,0.103174597024918,0.0859375,0.111999996006489,0.172995775938034,-0.0733333379030228,,,1573.61901855468,24.6205101013183,30.4292106628417,37.5659294128417,3.82454109191894,4.06456995010375,4.13019084930419,43.277660369873,20.0786991119384,330.259002685546,0.00766217708587646,0.0539984703063965,0.0413806438446045,1,0.501583397388458
SE0007387022,Absolicon,ABSL,Sverige,Aktietorget,Energiproducenter,,289,0.0586080588400364,0.126705661416054,0.153692618012428,0.699999988079071,2.65822792053222,,,,275.127990722656,-42.049819946289,-42.049819946289,,56.680679321289,56.680679321289,,-29.8533000946044,-29.8533000946044,,0.1238694190979,0.0530954599380493,0.881060659885406,3,-1.90614700317382
SE0007897079,AcadeMedia,ACAD,Sverige,Mid Cap,Konsument,2017-05-10,57.5,0.013215858489275,0.0360360369086266,0.0222222227603197,-0.0254237297922373,0.00877192988991737,,,,5410.75,13.4597396850585,15.5181903839111,10.5091896057128,0.582615494728088,0.635825872421264,0.417316108942032,20.114309310913,28.5303192138671,19.0202102661132,-0.0227565169334412,0.0153204202651978,-0.00906127691268921,3,0.121751002967358
