Bolagsnamn,Land,Lista,Bransch,Ticker,ISIN,Börsvärde,Aktiekurs,Utveck.  1d,Utveck.  1v,Utveck.  1m,Utveck.  3m,Utveck.  6m,Utveck.  1 år,Utveck.  3 år,Utveck.  5 år,P/E,P/E avg - 1 år,P/E avg - 3 år,P/S,P/S avg - 1 år,P/S - avg 3 år,P/FCF,P/FCF avg - 1 år,P/FCF avg - 3 år,MA(5)/MA(20),MA(20)/MA(70),MA(50)/MA(200),N. Rapport Datum,N. Rapport Dagar,Graham_Score
A City Media,Sverige,First North,Media,ACM,SE0001920760,211.7693,144.75,-0.01362862,-0.003442341,0.05272727,-0.1200608,0.3851675,0.06629834,,,23.18745,17.46056,12.01994,2.260584,1.717731,1.187193,45.54177,305.5922,12.26582,0.04852974,-0.03244233,0.104423,,,
A.P. Moller Maersk B,Denmark,Large Cap,Handel & Distribution,MAERSK B,DK0010244508,256731.8,12350,-0.01984127,0.05285592,0.03174603,0.03174603,0.3768116,0.3868613,-0.06439394,0.631871,-20.10598,-18.39728,4.831367,1.058858,0.8869173,0.9555342,19.88042,89.47972,22.1575,0.04837275,0.004622221,0.08840728,11/05/2017,,3
A1M Pharma,Sverige,Aktietorget,Sjukvård,A1M,SE0005876828,36.31897,0.665,0.01526725,-0.1363636,-0.2771739,-0.4217391,-0.7044444,-0.8202702,-0.8518931,,-0.6974305,-11.18233,-13.51474,,65.87145,16.58235,-0.6970076,-8.132544,-6.682331,-0.1625,-0.2844822,-0.4430144,,,1
Aalborg Boldspilklub,Denmark,Small Cap,"Hotell, restaurang & nöje",AAB,DK0010247014,,0.325,0,-0.01215808,0.07260721,0.07260721,0.3319672,0.1524822,-0.6491796,0.5776699,,,,,,,,,,0.04770994,0.05246031,0.1049796,,,2
Aarhus Elite,Denmark,Small Cap,"Hotell, restaurang & nöje",ELITE B,DK0010263722,,0.2,0.03092782,0.03626943,0.02564108,-0.1416309,-0.1666666,-0.2857143,-0.4673768,-0.7603068,,,,,,,,,,0.01110256,-0.06584662,-0.1486786,,,2
AarhusKarlshamn,Sverige,Large Cap,Livsmedel,AAK,SE0001493776,26789.45,633.5,-0.003147128,-0.003147128,0.0549542,0.07372881,0.1466063,0.02259887,0.4332579,1.766376,25.70971,25.23134,24.66054,1.121695,1.141805,1.107561,-47.8383,-27.08749,-44.34939,0.000552058,0.04547381,0.01107109,20/04/2017,,5
ABB,Sverige,Large Cap,Produktion,ABB,CH0012221716,464166,216.9,-0.01677249,-0.008230466,0.05036317,0.07217,0.1238342,0.2834319,0.3966516,0.8412563,24.57651,22.39535,22.80277,1.581934,1.246827,1.344121,10.89081,13.60949,13.9779,0.01197457,0.03672838,0.05765152,20/04/2017,,3
Absolent,Sverige,First North,Byggprodukter,ABSO,SE0006256558,1497.202,132.25,-0.03467153,-0.0130597,0.03320313,0.058,0.0952381,-0.1734375,,,23.42491,30.27976,37.1674,3.638817,4.041355,4.068283,41.17605,19.81601,329.5585,0.003763676,0.04945695,0.03739393,,,1
Absolicon,Sverige,Aktietorget,Energiproducenter,ABSL,SE0007387022,277.984,292,0.0245614,0.1656687,0.09981168,0.7176471,2.65,,,,-42.48632,-42.48632,,57.26906,57.26906,,-30.16319,-30.16319,,0.09007656,0.05387068,0.8829176,,,3
AcadeMedia,Sverige,Mid Cap,Konsument,ACAD,SE0007897079,5269.6,56,-0.03862661,0.009009009,0,-0.05084746,-0.01754386,,,,13.10861,15.43041,10.39215,0.5674168,0.6320263,0.4122499,19.58959,28.26795,18.8453,-0.03288198,0.01328397,-0.008862138,10/05/2017,,3
Acando,Sverige,Mid Cap,IT-Tjänster,ACAN B,SE0000105116,3209.388,31.2,-0.02499998,0.01960786,-0.01577287,-0.05167175,0.3,0.8682634,1.189474,1.302583,15.28288,12.03574,12.94474,1.392964,1.002837,1.026538,21.98211,20.08033,17.67478,-0.008787334,-0.006057143,0.1877712,04/05/2017,,3
Acarix,Sverige,First North,Sjukvård,ACARIX,SE0009268717,,20.5,0.00490198,0.07894737,0.0406091,-0.004854387,,,,,,,,,,,,,,-0.00224036,-0.01135647,-0.02126765,,,2
Acosense,Sverige,Aktietorget,Tjänster & Leverans,ACOS,SE0009580079,,8.8,0.05389219,0.09316769,0.05389219,,,,,,,,,,,,,,,0.08527136,-0.06829125,,,,2
AcouSort,Sverige,Aktietorget,Bioteknik,ACOU,SE0009189608,50.7104,9.2,0.03954796,0.05747126,-0.1238095,-0.1238095,,,,,-182.5397,-182.5397,,32.19708,32.19708,,,,,-0.05161297,-0.06155396,0.0207113,,,2
Actic Group,Sverige,Small Cap,Konsument,ATIC,SE0009269467,513.785,48.7,-0.02012072,-0.02404811,-0.03564355,,,,,,-129.7283,-32.43207,-43.24276,0.6190636,0.1547659,0.2063545,-6.465063,-2.155021,-2.155021,-0.005206227,-0.003267288,,,,1
Active Biotech,Sverige,Small Cap,Bioteknik,ACTI,SE0001137985,437.6445,4.52,-0.06418218,-0.1307692,-0.7773399,-0.6233333,-0.5632851,-0.5502487,-0.8723164,-0.8849872,-7.468606,-12.40374,-11.44701,22.10326,51.09535,62.55382,-6.979976,-10.83873,-9.848468,-0.6147152,-0.1564898,0.2468092,27/04/2017,,1
AcuCort,Sverige,Aktietorget,Läkemedel,ACUC,SE0009695927,,3.89,0.1114286,0.04851754,,,,,,,,,,,,,,,,-0.08407343,,,,,2
AdderaCare,Sverige,First North,Sjukvård,ADDERA,SE0009160922,198.45,16.2,0,0.05882357,0.09459463,0.05194813,,,,,33.29908,33.29908,,2.115807,2.115807,,-19.2222,-19.2222,,0.07619691,0.008745551,-0.02957016,16/05/2017,,2
AddLife,Sverige,Mid Cap,Bioteknik,ALIF B,SE0007982814,4108.05,179,0.01129944,-0.02452316,0.1049383,0.09146342,0.3664122,0.6384439,,,36.74508,36.74508,,2.119409,2.119409,,-63.10369,-63.10369,,0.04014862,0.03596807,0.1466284,28/04/2017,,2
Addnode,Sverige,Mid Cap,IT-Tjänster,ANOD B,SE0000472268,2424.4,79.75,0.009493671,0.03571428,0.1312057,0.1433692,0.3991228,0.5637255,0.6824894,1.531746,25.07152,20.78456,21.21691,1.065717,0.8643609,0.9108829,62.80829,56.34679,66.65971,0.02653694,0.07926297,0.125276,27/04/2017,,2
Addtech,Sverige,Mid Cap,Handel & Distribution,ADDT B,SE0005568136,10658.43,159.5,-0.00931677,-0.06176471,0.04590164,0.06333333,0.296748,0.4304933,0.529976,1.593521,24.22392,12.26998,16.49622,1.484874,1.084047,1.342019,-236.854,131.9885,-44.95996,-0.002916396,0.06795776,0.09227122,11/05/2017,,5
ADDvise Group A,Sverige,First North,Sjukvård,ADDV A,SE0001306119,114.0443,3.65,0,-0.1183574,-0.02406415,0.6590909,0.6150443,0.8527919,0,0.46,20.62147,58.8354,83.76575,0.5036756,0.4705787,0.4328139,-2.639119,-1.901948,,0.01152503,0.3503438,0.2274042,11/05/2017,,
Advanced Stabilized Tech,Sverige,NGM,Kommunikation,ASTG MTF,SE0005676277,55.25454,0.199,-0.02450978,-0.2841727,-0.5074258,-0.6683334,-0.7658823,-0.8122642,-0.801,,-7.803922,-36.04942,-4.803731,2.695343,11.31954,4.830041,-2.790633,-9.028249,-5.281001,-0.2950311,-0.2855331,-0.444568,,,
Advenica,Sverige,First North,Kommunikation,ADVE,SE0006219473,184.398,14.6,-0.0135135,-0.051948,-0.1461988,-0.317757,-0.08749998,-0.1797752,,,-7.405904,-14.83855,-33.92445,3.927624,4.524821,4.190876,-28.90704,-25.1344,-39.20891,-0.08447207,-0.1284847,-0.04385221,25/04/2017,,
Aerowash,Sverige,Aktietorget,Tjänster & Leverans,AERW B,SE0009346299,,9,-0.005524883,-0.1,-0.04255315,-0.375,,,,,,,,,,,,,,-0.04194146,-0.09222156,-0.05615944,,,2
AF Gruppen,Norge,OB Match,Byggnation,AFG,NO0003078107,14689.78,158.5,0,0,0.0192926,0,0.07823129,0.2286822,1.202239,2.155133,22.63477,18.56697,18.67709,1.241635,1.069999,1.051994,14.50126,13.75618,12.45207,0.01453447,-0.002707899,0.006982684,12/05/2017,,4
Afarak,Finland,Small Cap,Gruv & Metall,AFAGR,FI0009800098,261.7248,0.995,0.04188484,-0.1116071,0.2594936,-0.01485147,1.240991,1.335681,1.67545,0.4751668,-284.2857,174.8441,-80.92436,1.685557,0.8074679,0.9340842,38.06906,-374.6963,12.66488,0.009698868,0.09188628,0.3204757,,,2
Affecto,Finland,Small Cap,IT-Tjänster,AFE1V,FI0009013312,77.94712,3.61,0.01690139,0.1953642,0.2405498,0.2405498,0.3571428,0.2622378,0.2237287,0.3470148,16.51418,34.69218,-7.272105,0.6907021,0.6040812,0.6480298,21.66401,10.6282,13.38158,0.11932,0.02059007,0.04917693,11/05/2017,,2
Africa Oil,Sverige,Mid Cap,Olja & Gas,AOI,CA00829Q1019,6620.149,14.5,0.04996376,0.07566769,-0.01761519,-0.1435322,0.1009871,0.09682298,-0.7184466,-0.7264151,38.89485,15.49665,23.48853,,,,-18.46356,-3.020745,-6.259913,0.01233852,-0.09304267,-0.03584528,11/05/2017,,3
African Petroleum,Norge,Oslo Axess,Olja & Gas,APCL,AU000000AOQ0,549.0466,5.15,0,-0.3397436,-0.35625,0.6885246,1.384259,0.694079,,,143.8548,31.36422,45.14236,873.027,311.7897,333.999,-26.38493,2.789841,-11.26785,-0.3036516,0.4924088,0.8014712,,,
Ages Industri,Sverige,First North,Produktion,AGES B,SE0005799046,943.671,139,-0.008912656,0.06923077,0.09019607,0.4670185,0.5401662,0.2694064,,,19.82514,19.86915,17.21569,1.166466,0.998795,1.023989,21.44707,12.93497,17.91805,0.03202784,0.1237109,0.20711,04/05/2017,,
Agromino,Sverige,Small Cap,Livsmedel,AGRO,DK0060083566,354.3132,0.205,0.004901971,0.05128208,0.1647727,0.2202381,0.05670099,-0.2264151,-0.8891892,-0.9726667,-1.485507,-0.6737647,-1.197275,0.934788,0.3685394,0.5489165,2.170517,2.370665,5.088573,0.03573275,0.09573614,-0.1319108,,,2
AHA World,Sverige,Aktietorget,Betting & Spel,AHA,SE0005962362,26.3655,2.1,0.04999995,-0.216418,-0.295302,-0.5161291,-0.6440678,-0.6612903,,,-2.474373,-10.15359,-10.29147,1.34367,3.831185,3.75343,-2.133649,-7.859488,-9.508387,-0.1625282,-0.1571461,-0.3466077,12/05/2017,,
Ahlsell,Sverige,Large Cap,Tjänster & Leverans,AHSL,SE0009155005,19646.51,58,-0.04683646,-0.02356905,-0.03333333,-0.002579562,0.1143132,,,,57.44849,14.36212,19.1495,0.798444,0.199611,0.266148,27.43927,6.859817,9.146422,-0.003962457,0.01924622,0.05801713,28/04/2017,,1
Ahlstrom-Munksjö,Sverige,Large Cap,Produktion,AM1S,FI4000048418,8807.033,173.5,-0.02308562,0.0134346,0.2609011,0.2090592,0.1762712,0.8961748,,,19.6712,15.28015,19.03403,0.7937708,0.5439972,0.5961391,10.72771,8.334453,17.22748,0.06536233,0.111834,0.09281195,26/04/2017,,1
Ahlstrom-Munksjö Oyj,Finland,Large Cap,Produktion,AM1,FI4000048418,908.6219,17.9,-0.01810203,0.01878201,0.2596762,0.1737705,0.1933333,0.79,1.75499,,19.37439,15.17048,18.60833,0.7854615,0.538886,0.5840908,10.46799,8.250919,16.80748,0.06307471,0.103606,0.09400177,,,
Ahola Transport,Finland,First North,Handel & Distribution,AHOLA,FI4000127535,10.52575,0.71,-0.01388896,-0.02739732,-0.1125,-0.0469799,-0.1445783,-0.3173077,,,191.8919,91.35227,87.64657,0.109405,0.4836204,0.2351818,20.67927,69.12593,15.10442,-0.06740475,-0.01714516,-0.03188848,15/05/2017,,1
AIK Fotboll,Sverige,NGM,"Hotell, restaurang & nöje",AIK B,SE0000598278,43.678,2,0.05263159,-0.047619,-0.047619,-0.05213265,-0.1416309,0.3333333,0.5384616,0.1299435,0.756945,-3.269808,-3.57543,0.1986212,0.2351654,0.247983,2.414216,1.921417,-6.467155,-0.04081636,-0.01234055,0.006605148,09/05/2017,,2
Aino Health,Sverige,First North,Sjukvård,AINO,SE0009242555,,16.1,0.01898735,-0.03012048,-0.0693641,-0.2107843,,,,,,,,,,,,,,-0.03871268,-0.09473038,-0.1290254,12/05/2017,,2
Aker BP,Norge,OBX,Olja & Gas,DETNOR,NO0010345853,50795.64,150.4,0,0.03795721,0.03795721,-0.01117694,0.1613899,1.064516,1.766221,1.160885,80.53979,29.67435,51.09495,3.232463,2.159953,2.022247,14.73534,2.97792,8.837258,0.03026521,-0.01042706,0.03351116,28/04/2017,,1
Aker Solutions,Norge,OBX,Olja & Gas,AKSO,NO0010716582,12712.62,46.73,0,0.02635626,-0.06540001,0,0.2663956,0.5840678,,,223.0549,54.62407,87.35699,0.4974221,0.3722691,0.4213385,-14.54533,-2.799949,4.474856,-0.02650988,-0.03623247,0.160178,09/05/2017,,1
AKVA Group,Norge,OB Match,Livsmedel,AKVA,NO0003097503,1808.38,70,0,0.02189781,0.1290323,-0.07894737,-0.1277259,0.1666667,3.545455,5.363636,51.86722,42.47423,43.81477,1.051037,0.9594259,0.9279825,-11.46918,-28.15449,-32.8504,0.0337162,-0.05995626,-0.06983948,11/05/2017,,
Alcadon Group,Sverige,First North,Kommunikation,ALCA,SE0008732218,637.728,39,-0.02010048,-0.01515148,0.05691053,0.1142857,0.5,,,,24.81548,21.64352,14.42901,1.859265,1.654977,1.103318,-69.31826,-20.68155,-13.7877,-0.01732367,0.09307253,0.180752,25/04/2017,,
Alelion Energy,Sverige,First North,Produktion,ALELIO,SE0008348072,427.3205,10.35,-0.009569324,0.009756135,0.118919,-0.07999997,-0.215909,,,,-23.30556,-11.65278,-7.76852,8.474041,4.23702,2.82468,-12.74328,-6.371641,-4.24776,0.04714644,-0.01266974,-0.1091971,08/05/2017,,1
Alfa Laval,Sverige,Large Cap,Produktion,ALFA,SE0000695876,72649.78,173.2,-0.02914797,-0.0361714,-0.006310993,0.06127451,0.2954375,0.371338,0.03836927,0.3735131,33.08311,24.35586,24.96582,2.042962,1.724093,1.754823,17.90727,14.59709,14.6968,-0.01076472,0.05164659,0.139353,26/04/2017,,3
Aligera B,Sverige,First North,Energiproducenter,ALIRA B,SE0009470271,,7.5,0,-0.0625,-0.068323,-0.3181818,,,,,,,,,,,,,,-0.05629033,-0.130483,-0.09149671,,,2
Alimak,Sverige,Mid Cap,Tjänster & Leverans,ALIG,SE0007158910,5719.032,132,-0.01308411,0.0332681,-0.04347826,-0.02402958,0.3101737,0.7254902,,,26.57593,21.03105,26.25677,2.413196,2.045674,2.172432,-6.415786,13.08931,11.99304,0.008814335,-0.001068473,0.1462755,12/04/2017,,1
ALK-Abello,Denmark,Large Cap,Läkemedel,ALK B,DK0060027142,0.992,992,-0.06238185,-0.05523809,-0.01587302,0.06437769,0.09130913,-0.1934959,0.2171779,1.610526,,,,,,,,,,-0.01383138,0.06229985,0.05769348,09/05/2017,,2
Allgon,Sverige,First North,Kommunikation,ALLG B,SE0008374003,198.3349,11.7,-0.004255335,-0.02904567,-0.1,-0.1102661,-0.04098361,-0.1612903,-0.3117647,0.3257791,-8.094646,5.709351,10.94075,1.413185,1.57245,1.381774,-6.351188,-120.0347,2.318999,-0.05176234,-0.02614319,-0.01021791,04/05/2017,,
Alligator Bioscience,Sverige,Mid Cap,Bioteknik,ATORX,SE0000767188,,30.8,0,-0.06666669,0.03355705,-0.05521471,,,,,,,,,,,,,,0.01710236,0.01231968,-0.05418533,02/05/2017,,2
AllTele,Sverige,Small Cap,Telekommunikationstjänster,ATEL A,SE0001625534,716.2826,21.8,-0.02678573,-0.01357471,0.0634146,0.1354166,0.4931506,0.4064516,-0.2350877,-0.009090944,24.12305,9.796382,9.558697,1.003226,0.7185164,0.7451747,-49.57316,-4.180414,-4.827362,-0.02709848,0.1247079,0.1700865,09/05/2017,,
Alma Media,Finland,Mid Cap,Media,ALN1V,FI0009013114,460.521,5.59,-0.007104789,-0.01410933,0.1135458,0.06273763,0.09823182,0.5315068,1.07037,0.2450721,19.26922,23.7373,20.68511,1.282431,1.007094,1.001309,13.70598,19.1089,14.86977,0.0418433,0.02209723,0.04196513,28/04/2017,,2
Alphahelix,Sverige,Aktietorget,Sjukvård,ALPH,SE0000885501,73.43648,1.39,0.0220588,0.0373134,0.1982759,0,0.486631,0.4329896,-0.1202532,1.78,43.4375,60.47108,65.15678,2.550852,2.464535,2.346863,,26.5794,48.53526,0.06144392,-0.007081389,0.1024877,27/04/2017,,1
Alteco Medical,Sverige,Aktietorget,Läkemedel,ALTE,SE0005620408,20.4725,1.25,-0.0384615,0.008064508,-0.0601504,-0.1776316,-0.2236025,-0.5535715,-0.7340425,,-2.231346,-7.409025,-5.152437,4.690149,7.391945,7.113356,-2.009669,-4.613594,-3.847074,0.004823208,-0.1049441,-0.1818823,27/04/2017,,
Alzinova,Sverige,Aktietorget,Bioteknik,ALZ,SE0007413455,78.6093,14.35,0.0177305,-0.04966887,-0.06209149,-0.130303,-0.103125,-0.003472169,,,-26.52495,-20.9672,-13.97813,14.93338,33.61141,22.40761,-10.19047,-10.77199,-7.181325,-0.0324741,-0.02340025,-0.1560078,19/05/2017,1,1
Ambea,Sverige,Mid Cap,Sjukvård,AMBEA,SE0009663826,6085.44,90,0.01694915,0.01408451,0.05882353,,,,,,47.54358,23.77179,15.84786,1.125058,0.5625291,0.3750194,-7.227364,-3.613682,-2.409121,0.06658792,0.009671092,,,,1
Ambia Trading,Sverige,Aktietorget,Handel & Distribution,AMBI,SE0004020097,38.24675,14.75,0.04982205,-0.01337791,-0.06645571,0.05734769,0.003401374,-0.1522988,0.1007463,,-93.29538,6.497961,-8.128214,,0.08018172,0.09111675,-1.388015,-1.765743,-2.354323,-0.00610584,0.02636027,-0.009417474,17/05/2017,,1
Ambu,Denmark,Large Cap,Sjukvård,AMBU B,DK0060591204,0.3898,389.8,-0.03083049,-0.06880081,0.2497595,0.374471,0.3213559,0.5167314,3.442165,9.535135,,,,,,,,,,0.07860017,0.1786447,0.04430413,02/05/2017,,2
Amer Sports,Finland,Large Cap,Konsument,AMEAS,FI0009000285,2351.522,20.03,-0.03516375,-0.03189946,-0.06967022,-0.1077951,-0.1827825,-0.2154328,0.3709789,1.084287,19.0871,22.00294,21.29228,0.88797,1.076143,1.015608,33.4023,249.2643,445.5199,-0.009283721,-0.04524999,-0.1209763,27/04/2017,,4
American Shipping,Norge,OB Match,Tjänster & Leverans,AMSC,NO0010272065,1606.324,26.5,0,0,-0.0669014,-0.01851852,0.1134454,-0.01851852,-0.4619158,9.664412,26.77579,30.16339,19.26351,2.160199,2.757569,2.91365,3.35269,8.164648,11.23832,-0.015396,-0.02974755,0.05085719,,,2
Amnode,Sverige,Aktietorget,Produktion,AMNO,SE0002069633,19.18697,0.315,-0.01253921,-0.05970152,-0.1839378,-0.2708334,-0.60625,-0.7,-0.93,,-1.710098,-2.952004,-2.623395,0.2479833,0.3509274,0.3051701,-1.52193,9.769942,-5.018414,-0.1508727,-0.04235935,-0.3457854,09/05/2017,,1
Andersen & Martini,Denmark,Small Cap,Återförsäljare,AM B,DK0010283597,0.089,89,-0.0273224,0.01714286,0.1173185,0.3088235,0.9264069,0.8163265,1.230576,0.8163265,,,,,,,,,,0.01480627,0.09851813,0.3886654,,,2
Angler Gaming,Sverige,Aktietorget,Betting & Spel,ANGL,MT0000650102,360.4471,4.85,0.02972396,0.04751615,0.01890749,0.09234231,0.5695793,0.4831804,1.852941,,21.16979,53.19884,-23.84368,4.531783,4.892698,4.844943,81.06129,-182.5483,-3.019404,-0.01807415,0.03557622,0.2354147,03/05/2017,,1
Annexin,Sverige,First North,Bioteknik,ANNX,SE0009664154,,9.05,0.005555577,-0.01630431,,,,,,,,,,,,,,,,0.007743359,,,,,2
Anoto,Sverige,Small Cap,Elektronisk utrustning,ANOT,SE0000547929,306.5536,0.171,-0.0228571,-0.04469274,-0.005813965,0.06875005,-0.04469274,-0.2962963,-0.62,-0.909086,-1.31135,-6.793891,-5.681746,1.300846,4.152167,3.126868,-1.539789,-3.513615,-2.832541,0.01730108,0.1652107,-0.1354296,12/05/2017,,1
Apetit,Finland,Small Cap,Livsmedel,APETI,FI0009003503,82.37142,13.29,-0.00598354,-0.009687043,-0.02207507,-0.04319657,0.03263404,0.06746989,-0.2816216,-0.01555556,51.49167,45.22493,32.60848,0.2099705,0.2063101,0.2188123,7.225563,-63.67991,2.991741,-0.002091706,-0.02659416,0.01587009,05/05/2017,,3
Apple,USA,NYSE & Nasdaq,Elektronisk utrustning,AAPL,US0378331005,776230.9,147.51,0,0,0.0400479,0.08686998,0.3416098,0.5778158,0.7281211,0.9478049,16.97429,13.85753,13.88097,3.521008,2.917175,2.983314,36.7047,30.13227,30.49009,0.01010025,0.03471386,0.1618826,,,3
AppSpotr,Sverige,Aktietorget,Programvara & Internet,APTR,SE0009267974,,6.65,0,-0.007462644,-0.08275861,-0.3926941,,,,,,,,,,,,,,0.01194036,-0.2460414,-0.2450429,31/03/2017,,2
Apptix,Norge,OB Standard,IT-Tjänster,APP,NO0010123060,57.001,0.7,0,-0.1666667,-0.3,-0.3859649,-0.6335078,-0.707113,-0.845679,-0.852021,9.845288,5.145414,3.1425,0.246096,0.6337713,0.6717989,-0.4839427,2.644715,5.447784,-0.1751663,-0.06125486,-0.3204799,10/05/2017,,1
Aptahem,Sverige,Aktietorget,Läkemedel,APTA,SE0006543450,30.31866,3.89,0.1146132,0.005168015,-0.1258426,-0.550289,-0.6030612,-0.6689361,,,-3.113993,-19.58716,-6.404992,180.4682,2573.921,180.4682,-3.268153,-16.58593,-5.654994,-0.08823901,-0.3576332,-0.3866306,18/05/2017,0,2
AQ Group,Sverige,Mid Cap,Produktion,AQ,SE0000772956,4390.56,240,-0.01639344,0.01479915,0.09339408,0.05032822,0.2664908,0.5047022,1.44898,4.741627,17.58577,13.56631,13.86671,1.241542,0.950866,0.9268667,151.1745,8.609461,52.85878,0.06531322,0.02187145,0.06299484,27/04/2017,,4
Aqeri,Sverige,First North,Elektronisk utrustning,AQER,SE0001822495,18.8617,1.3,-0.02255646,-0.1034483,-0.3467337,-0.3264249,-0.2528736,-0.3779904,-0.6666667,-0.6486487,-2.947177,3.431664,1.456347,0.4950577,0.7629658,0.742681,-26.94529,-6.425433,-1.168474,-0.07168579,-0.2168961,-0.02608246,31/03/2017,,
Aqua Bio Technology,Norge,Oslo Axess,Konsument,ABT,NO0010307135,70.47145,10.15,0,0.06060605,0.1613272,0.1955241,-0.1135371,-0.357595,-0.462963,0.0378323,48.24144,19.67986,66.87526,1.426143,2.814464,3.370144,3.217875,6.321122,11.33021,0.0393517,0.04357755,-0.1088693,,,3
Aqualis,Norge,OB Match,Olja & Gas,AQUA,NO0010715394,165.3228,3.8,0,0.027027,0.08571427,0.08571427,0.3103448,0.5510204,,,-12.96928,-7.051064,-14.383,0.6787511,0.7256466,0.7053608,-5.699194,-3.969625,-4.693243,0.0072366,0.07650137,0.06585979,27/04/2017,,2
Arbona B,Sverige,NGM,IT-Tjänster,ARBO MTF B,SE0003172089,79.53096,2.14,0,0,-0.004651158,-0.04035871,-0.06956515,0.07000005,-0.1083333,,17.78886,-33.42778,-60.21356,2.97401,2.97401,2.97401,-2.091544,-17.76314,17.91543,0.001638293,-0.004426837,-0.05472046,,,2
Arc Aroma Pure,Sverige,First North,Läkemedel,AAP B,SE0004977452,489.8985,55.5,0.03738318,0.2305987,0.2642368,0.2416107,0.3636363,1.018182,2.448019,,79.74138,8.5683,-61.55255,46.75943,47.34275,41.25867,-4259.987,-2155.885,-1450.353,0.1048598,0.04998314,-0.04508805,,,1
Arcam,Sverige,Mid Cap,Produktion,ARCM,SE0005676160,6356.504,308,-0.003236246,-0.01282051,-0.07646177,-0.02685624,0.02325581,0.6648649,1.26055,28.33333,-302.7027,-25.50634,-216.601,9.33956,7.474439,7.424704,-30.90182,-52.7902,-31.70887,-0.01461709,-0.0222804,0.08102202,21/04/2017,,2
Archelon,Sverige,Aktietorget,Gruv & Metall,ALON B,SE0005594801,14.44494,0.19,-0.0206186,0.06145247,-0.1363636,-0.1517858,-0.1363636,0,0.5833334,,-26.0274,-38.46655,-14.45022,25.342,35.32488,63.03401,-12.9551,4.298417,-0.303215,-0.02846497,-0.1179606,-0.07852179,18/05/2017,0,1
Archer,Norge,OB Match,Olja & Gas,ARCHER,BMG0451H1170,735.7746,12.65,0,-0.04887222,-0.0343512,-0.02692311,1.3,1.279279,-0.8585011,-0.8777778,-0.5248592,-1.637611,-2.573422,0.09852219,0.1498995,0.1683841,10.0085,-3.866229,0.2852392,0.008945942,-0.04215235,0.3874629,05/05/2017,,1
Arcoma,Sverige,First North,Sjukvård,ARCOMA,SE0006219176,63.1045,6.1,-0.02400002,0,0.1090909,0.5365239,0.4319248,0.2348178,,,-5.41885,1.424371,25.73187,0.6181806,0.7155831,0.7007092,-6.947539,-35.01166,-12.39771,0.007444143,0.2301587,0.1824005,18/05/2017,0,1
Arctic Gold,Sverige,First North,Gruv & Metall,ARCT,SE0000697948,9.528636,0.442,-0.03913045,-0.004504513,-0.04535637,-0.1417475,-0.2313043,-0.05957446,-0.1407465,-0.8236656,-2.568274,-3.51421,-2.221587,,102.0013,150.8516,-7.696798,-6.977053,-6.923576,-0.01642197,-0.06530452,-0.08919126,27/04/2017,,1
Arctic Paper,Sverige,Small Cap,Skog,ARP,PLARTPR00012,748.2996,10.8,0.01886791,-0.06493507,0.02369668,-0.08860761,-0.1037344,0,1,,8.438819,7.903404,3.022757,0.113608,0.09605335,0.09560448,32.78593,23.41716,12.50005,-0.005214214,-0.03424871,-0.02950454,16/05/2017,,2
Arcus,Norge,OB Match,Konsumentprodukter,ARCUS,NO0010776875,3142.663,46.2,0,-0.02325578,-0.04742267,0.02212389,,,,,-123.6948,-52.65,-70.2,1.235656,0.599982,0.7999761,-109.8872,-40.6587,-54.21161,-0.02953148,0.01542497,0.04128861,05/05/2017,,
Arendals Fossekompani,Norge,OB Standard,Energiproducenter,AFK,NO0003572802,6493.1,2900,0,-0.02488231,0.096823,-0.003436426,0.04316547,0.2083333,0.7737004,0.7058823,16.7348,13.87347,18.08835,0.9948062,0.8015448,0.8535592,15.49666,83.4208,14.82758,0.0489974,-0.01642507,-0.002778172,16/05/2017,,2
Arise Windpower,Sverige,Small Cap,Energiproducenter,ARISE,SE0002095604,523.9718,15.7,0.00641022,-0.0125786,-0.06547616,-0.1513514,-0.2341463,0.05369129,-0.3485478,-0.5,-9.034411,-9.187102,-9.087716,1.041693,1.065847,1.073063,1.940636,2.258942,1.920655,0.001907229,-0.0821107,-0.113736,04/05/2017,,1
Arkil Holding,Denmark,Small Cap,Byggnation,ARKIL B,DK0010025113,0.989,989,-0.02561576,-0.03793775,-0.0713615,-0.006030151,0.1460023,-0.07570094,0.1635294,1.4725,,,,,,,,,,-0.01451808,0.01149964,0.09892964,,,2
AroCell,Sverige,First North,Sjukvård,AROC,SE0003883990,169.1766,5.9,-0.0247934,0.1346154,0.1132075,-0.06349208,-0.06349208,-0.3407821,-0.09642246,1.048113,-15.93303,-31.73263,-26.77118,1471.101,4414.113,2959,-9.803929,-17.48366,-15.29488,0.1054814,-0.0676688,-0.1332461,11/05/2017,,1
Asetek,Norge,OB Match,Elektronisk utrustning,ASETEK,DK0060477263,2544.9,102,0,0.1117166,0.3509934,0.5632184,1.019802,3.722222,1.995859,,32.00201,22.71833,6.573902,5.73977,2.710847,3.068546,146.3789,49.5807,52.96952,0.1741589,0.07370198,0.4059536,26/04/2017,,1
